"student_id" "female" "nonwhite" "rep" "mun_school" "math_prof" "math" "math_bl1" "math_bl2" "lp_prof" "lp" "lp_bl1" "lp_bl2"
"1" 111881 1 1 0 0 -0.470196 11 6 5 -0.694201 12 6 6
"2" 815044 0 0 1 0 0.004574 13 6 7 -0.62728 11 7 4
"3" 815045 1 0 0 0 0.247758 16 8 8 -0.214117 17 9 8
"4" 815046 0 1 0 0 0.682503 19 7 12 -0.01389 15 7 8
"5" 1517938 1 0 1 0 -0.006396 14 10 4 0.222242 17 8 9
"6" 1517939 0 1 1 0 -0.772369 12 4 8 0.808274 22 12 10
"7" 1517944 0 1 0 0 1.230766 21 9 12 1.798705 25 13 12
"8" 1517946 0 0 0 0 0.988943 21 12 9 0.592796 19 10 9
"9" 2220257 1 1 1 0 1.253558 22 12 10 0.295795 18 9 9
"10" 2220258 0 1 1 0 1.762921 23 11 12 1.024337 21 10 11
"11" 2220259 1 0 0 0 0.121938 12 5 7 -0.675721 11 8 3
"12" 2220260 1 0 0 0 0.43655 17 6 11 0.2209 17 8 9
"13" 2220261 1 1 0 0 -0.523277 13 7 6 0.361017 19 7 12
"14" 2922335 0 0 1 0 0.172259 15 9 6 -0.116561 16 9 7
"15" 2922337 0 0 0 0 1.449376 24 11 13 1.290057 24 12 12
"16" 2922338 0 1 0 0 1.087768 23 11 12 0.606725 20 10 10
"17" 2922339 1 0 0 0 0.270721 16 5 11 0.206054 15 8 7
"18" 2922340 0 1 0 0 -0.242581 14 8 6 0.031868 16 8 8
"19" 3625084 0 0 1 0 0.037294 14 8 6 0.163181 16 7 9
"20" 3625086 0 1 1 0 -0.403067 12 6 6 0.454553 19 10 9
"21" 3625087 1 0 0 0 -0.077896 16 8 8 -0.150901 16 9 7
"22" 3625088 0 0 1 0 -0.126614 13 7 6 -0.161074 14 6 8
"23" 3625089 1 0 0 0 -0.554634 12 6 6 0.008248 17 9 8
"24" 4326709 1 1 1 0 -1.035293 11 6 5 0.164359 16 9 7
"25" 5028768 1 1 0 0 0.681367 19 9 10 0.625285 22 9 13
"26" 5028770 1 1 0 0 -0.433642 12 5 7 0.082557 15 7 8
"27" 5028771 1 0 0 0 0.022872 12 8 4 -0.445183 14 6 8
"28" 5028772 1 0 0 0 0.469733 19 9 10 0.679489 20 10 10
"29" 159001 1 1 1 0 -0.780588 8 4 4 -1.361475 8 6 2
"30" 159003 0 0 1 0 0.928978 21 11 10 -2.357973 3 0 3
"31" 159004 1 0 0 0 0.233768 16 9 7 1.696994 24 11 13
"32" 159005 0 1 0 0 0.229502 15 8 7 -0.669598 10 6 4
"33" 159006 1 1 0 0 0.900852 18 11 7 0.189892 15 7 8
"34" 862124 0 1 1 0 -0.977194 9 4 5 -0.823726 9 7 2
"35" 1565731 0 0 1 0 -0.408342 12 5 7 -2.039325 4 1 3
"36" 1565732 0 0 0 0 0.057915 15 8 7 0.422645 19 10 9
"37" 1565734 0 1 1 0 -1.585772 5 3 2 -0.842657 12 6 6
"38" 2267456 1 0 0 0 -0.026161 13 6 7 0.767353 20 10 10
"39" 2267457 0 1 0 0 0.156941 16 7 9 -0.126311 17 7 10
"40" 2267458 0 0 1 0 -1.869094 5 3 2 -1.50913 7 2 5
"41" 2267459 1 1 0 0 1.027814 18 10 8 0.066227 17 10 7
"42" 2969513 0 0 1 0 -1.048122 7 2 5 -0.286786 14 5 9
"43" 2969515 0 0 0 0 1.335358 22 12 10 0.550744 18 8 10
"44" 3672204 1 1 1 0 0.726756 18 11 7 -0.124357 14 6 8
"45" 3672205 1 1 1 0 -1.135576 8 5 3 -0.701158 10 6 4
"46" 3672206 1 0 0 0 -0.014678 14 6 8 -0.910179 11 2 9
"47" 3672208 0 1 0 0 0.365845 17 8 9 1.043469 23 11 12
"48" 4373562 0 1 1 0 -0.218765 12 5 7 -0.269138 15 8 7
"49" 4373563 0 1 0 0 -0.198825 12 6 6 0.353939 17 9 8
"50" 4373564 1 0 0 0 0.611707 18 11 7 0.94435 20 10 10
"51" 4373565 1 0 0 0 1.159347 20 11 9 1.49559 23 12 11
"52" 5076186 0 1 1 0 -1.593934 10 7 3 -0.193452 15 9 6
"53" 5076187 1 0 0 0 0.109849 16 9 7 -1.11493 10 6 4
"54" 5076189 1 0 0 0 0.601971 15 7 8 0.202189 18 10 8
"55" 5076190 1 1 0 0 -0.085019 15 9 6 -0.7371 9 5 4
"56" 678231 0 0 0 0 -0.986576 9 5 4 -1.360731 6 4 2
"57" 678232 1 0 0 0 -1.7494 5 2 3 -0.830562 11 4 7
"58" 678233 0 1 0 0 0.875547 21 11 10 -0.139087 16 9 7
"59" 678234 1 0 0 0 -0.271453 13 6 7 0.77312 20 10 10
"60" 1380901 1 1 1 0 -0.732825 11 5 6 -0.356138 15 8 7
"61" 2083796 0 0 0 0 1.190515 21 11 10 1.07243 22 11 11
"62" 2083797 1 1 0 0 -0.060651 13 6 7 -0.183041 16 7 9
"63" 2083799 0 0 1 0 0.178351 15 5 10 -0.243762 16 8 8
"64" 2785654 0 0 1 0 0.635251 20 10 10 0.013945 13 6 7
"65" 2785655 0 0 1 0 -0.481376 12 10 2 -0.877357 9 4 5
"66" 2785656 1 0 0 0 -0.054185 16 8 8 -0.945625 10 2 8
"67" 2785657 1 1 0 0 1.587592 23 12 11 0.51309 19 12 7
"68" 2785658 0 1 0 0 1.2003 20 11 9 -0.211488 14 7 7
"69" 2785659 0 0 0 0 -0.105292 14 8 6 -0.94014 11 8 3
"70" 3488423 1 0 0 0 -0.095745 12 7 5 -0.051461 16 8 8
"71" 3488424 0 0 1 0 -0.32349 13 6 7 -0.516804 13 6 7
"72" 3488425 1 0 0 0 1.241787 23 11 12 0.769716 19 8 11
"73" 3488426 1 1 0 0 1.348217 23 11 12 0.749004 21 11 10
"74" 4189546 1 0 0 0 0.580308 20 10 10 -0.728613 11 6 5
"75" 4189547 1 1 0 0 0.667778 20 10 10 0.404276 16 9 7
"76" 4189548 0 1 0 0 -0.304802 12 6 6 -0.065263 14 7 7
"77" 4189549 0 1 0 0 0.033091 14 4 10 0.165343 19 11 8
"78" 4189550 1 0 0 0 0.647189 20 10 10 0.013483 14 7 7
"79" 4189552 1 1 0 0 0.610794 18 11 7 1.754241 24 12 12
"80" 4892105 0 0 0 0 0.95943 20 10 10 0.514886 20 9 11
"81" 4892106 1 0 0 0 0.460029 19 9 10 0.244263 18 8 10
"82" 4892107 0 0 0 0 0.904056 19 8 11 1.657813 24 12 12
"83" 4892108 0 1 0 0 -0.228307 14 8 6 0.354948 17 9 8
"84" 4892109 0 0 1 0 0.233816 19 9 10 -0.78542 12 6 6
"85" 5592728 1 0 0 0 0.495653 19 8 11 0.822641 22 10 12
"86" 5592729 0 0 1 0 -0.651476 12 5 7 -0.413287 15 8 7
"87" 5592730 0 0 0 0 0.30081 16 10 6 -0.724679 11 5 6
